loan_id,customer_id,amount,duration,payments,status,year,month,day,date,fulldate,location,purpose,comments
6234,A00006434,5148,12,429,C,2018,5,28,2018-05-28,2018-05-28,1,car,Interest rate:3.72%; Monthly payment:$205
6312,A00008645,10944,36,304,C,2018,5,17,2018-05-17,2018-05-17,1,car,Interest rate: 3.04%; monthly payment: $520
5147,A00000309,22260,60,371,C,2018,5,21,2018-05-21,2018-05-21,64,debt_consolidation,Interest rate: 3.34%; monthly payment: $275
5313,A00009403,43200,24,1800,C,2018,5,27,2018-05-27,2018-05-27,64,debt_consolidation,interest rate: 3.45%; Monthly payment: $377
6569,A00002343,45456,12,3788,C,2018,5,28,2018-05-28,2018-05-28,1,home_improvement,interest rate: 3.56%; Monthly payment: 153
7172,A00009513,45720,12,3810,C,2018,5,7,2018-05-07,2018-05-07,1,debt_consolidation,Interest rate: 3.75%; monthly payment: 705
6470,A00006792,49872,12,4156,C,2018,5,17,2018-05-17,2018-05-17,1,home,Interest rate: 3.49%; Monthly payment: $250
5906,A00005269,81144,36,2254,C,2018,5,5,2018-05-05,2018-05-05,1,home,interest rate: 3.86%; monthly payment: 220
5034,A00005477,112752,36,3132,C,2018,5,30,2018-05-30,2018-05-30,70,home,interest rate: 3.43%; monthly payment: $374
5616,A00001843,130896,24,5454,C,2018,5,15,2018-05-15,2018-05-15,18,home,interest rate: 3.77%; Monthly payment: 204
5501,A00000025,136344,24,5681,C,2018,5,21,2018-05-21,2018-05-21,46,home,interest rate:3.47%; monthly payment:246
6571,A00007240,140064,24,5836,C,2018,5,12,2018-05-12,2018-05-12,1,home,Interest rate: 3.75%; Monthly payment: $768
7202,A00007990,140688,48,2931,C,2018,5,29,2018-05-29,2018-05-29,1,home,Interest rate: 3.0%; monthly payment: $539
5683,A00005774,140688,48,2931,C,2018,5,29,2018-05-29,2018-05-29,1,home,Interest rate: 3.77%; monthly payment: $157
5699,A00010215,174960,24,7290,C,2018,5,24,2018-05-24,2018-05-24,1,home,interest rate: 3.74%; monthly payment: $350
6436,A00006083,495180,60,8253,C,2018,5,22,2018-05-22,2018-05-22,1,home,interest rate:3.19%; Monthly payment:387
