loan_id,customer_id,amount,duration,payments,status,year,month,day,date,fulldate,location,purpose,comments
5446,A00007815,48312,24,2013,C,2017,8,4,2017-08-04,2017-08-04,59,home_improvement,Interest rate:3.08%; Monthly payment:132
5856,A00007745,51360,12,4280,B,2017,8,9,2017-08-09,2017-08-09,1,home_improvement,Interest rate:3.0%; Monthly payment:$847
7219,A00007607,57120,48,1190,C,2017,8,23,2017-08-23,2017-08-23,1,home,Interest rate: 3.2%; Monthly payment: 568
5338,A00004462,57360,12,4780,B,2017,8,30,2017-08-30,2017-08-30,64,home,interest rate: 3.86%; monthly payment: $348
5638,A00001888,68124,12,5677,A,2017,8,27,2017-08-27,2017-08-27,59,home,interest rate:3.02%; Monthly payment:883
5117,A00010493,76944,12,6412,A,2017,8,20,2017-08-20,2017-08-20,64,home,interest rate: 3.52%; Monthly payment: 689
5389,A00010361,78600,24,3275,C,2017,8,22,2017-08-22,2017-08-22,59,home,interest rate: 3.23%; monthly payment: 966
6922,A00004260,83628,36,2323,C,2017,8,26,2017-08-26,2017-08-26,1,home,interest rate: 3.25%; Monthly payment: 191
5367,A00002322,83628,36,2323,C,2017,8,26,2017-08-26,2017-08-26,59,home,Interest rate:3.9%; Monthly payment:$443
5377,A00003037,92400,12,7700,A,2017,8,4,2017-08-04,2017-08-04,59,home,Interest rate:3.25%; Monthly payment:$819
6612,A00004576,97392,12,8116,A,2017,8,31,2017-08-31,2017-08-31,1,home,Interest rate:3.54%; Monthly payment:$707
6677,A00003754,97980,60,1633,C,2017,8,12,2017-08-12,2017-08-12,1,home,interest rate:3.24%; Monthly payment:$826
6665,A00007769,99300,60,1655,C,2017,8,15,2017-08-15,2017-08-15,1,home,Interest rate:3.07%; monthly payment:$849
5817,A00005317,100800,24,4200,D,2017,8,15,2017-08-15,2017-08-15,1,home,Interest rate: 3.22%; Monthly payment: $946
4986,A00004079,102876,12,8573,A,2017,8,10,2017-08-10,2017-08-10,1,home,interest rate:3.33%; monthly payment:$811
6984,A00007990,116040,60,1934,C,2017,8,15,2017-08-15,2017-08-15,1,home,Interest rate:3.62%; monthly payment:$259
6541,A00004473,153504,48,3198,C,2017,8,17,2017-08-17,2017-08-17,1,home,Interest rate:3.56%; Monthly payment:919
6097,A00003907,202848,48,4226,C,2017,8,21,2017-08-21,2017-08-21,1,home,Interest rate:3.18%; Monthly payment:$470
6007,A00002236,289920,48,6040,C,2017,8,30,2017-08-30,2017-08-30,1,home,Interest rate:3.62%; Monthly payment:126
7001,A00002699,300600,60,5010,C,2017,8,10,2017-08-10,2017-08-10,1,home,interest rate: 3.99%; Monthly payment: 741
6338,A00009510,390660,60,6511,C,2017,8,24,2017-08-24,2017-08-24,1,home,interest rate:3.78%; Monthly payment:$707
5830,A00007424,405780,60,6763,C,2017,8,28,2017-08-28,2017-08-28,1,home,interest rate: 3.68%; monthly payment: $628
