loan_id,customer_id,amount,duration,payments,status,year,month,day,date,fulldate,location,purpose,comments
7230,A00003005,18720,60,312,C,2017,4,2,2017-04-02,2017-04-02,1,car,interest rate:3.92%; Monthly payment:$795
5005,A00003489,27456,12,2288,A,2017,4,10,2017-04-10,2017-04-10,1,debt_consolidation,interest rate:3.25%; monthly payment:639
5878,A00004052,74040,12,6170,A,2017,4,1,2017-04-01,2017-04-01,1,home,Interest rate: 3.75%; monthly payment: $167
7253,A00009337,98304,12,8192,A,2017,4,26,2017-04-26,2017-04-26,1,home,Interest rate: 3.51%; Monthly payment: 814
6913,A00011138,99936,24,4164,C,2017,4,29,2017-04-29,2017-04-29,1,home,interest rate: 3.56%; monthly payment: $891
5110,A00010404,102240,60,1704,C,2017,4,1,2017-04-01,2017-04-01,64,home,Interest rate:3.79%; Monthly payment:$364
6386,A00006924,124344,36,3454,C,2017,4,30,2017-04-30,2017-04-30,1,home,Interest rate: 3.61%; Monthly payment: 793
5210,A00009140,148140,36,4115,C,2017,4,1,2017-04-01,2017-04-01,64,home,interest rate:3.75%; monthly payment:912
6871,A00008381,164256,48,3422,C,2017,4,13,2017-04-13,2017-04-13,1,home,interest rate:3.67%; Monthly payment:686
5072,A00005395,196800,24,8200,D,2017,4,28,2017-04-28,2017-04-28,64,home,Interest rate:3.48%; Monthly payment:$334
5363,A00002912,293880,60,4898,D,2017,4,22,2017-04-22,2017-04-22,59,home,Interest rate:3.54%; Monthly payment:$984
6055,A00002279,399120,60,6652,C,2017,4,28,2017-04-28,2017-04-28,1,home,Interest rate:3.93%; Monthly payment:$541
