loan_id,customer_id,amount,duration,payments,status,year,month,day,date,fulldate,location,purpose,comments
7072,A00005735,22104,12,1842,C,2018,1,27,2018-01-27,2018-01-27,1,debt_consolidation,Interest rate: 3.24%; monthly payment: 889
7139,A00001270,23412,12,1951,C,2018,1,22,2018-01-22,2018-01-22,1,debt_consolidation,Interest rate:3.62%; Monthly payment:$250
7110,A00010973,31260,12,2605,C,2018,1,21,2018-01-21,2018-01-21,1,home_improvement,Interest rate: 3.0%; Monthly payment: $103
6643,A00005196,35856,24,1494,C,2018,1,18,2018-01-18,2018-01-18,1,debt_consolidation,interest rate: 3.53%; Monthly payment: 926
5332,A00000915,37944,36,1054,C,2018,1,29,2018-01-29,2018-01-29,64,home_improvement,interest rate: 3.23%; Monthly payment: $268
6553,A00004858,42384,12,3532,C,2018,1,26,2018-01-26,2018-01-26,1,home_improvement,Interest rate:3.35%; monthly payment:374
6044,A00003834,57060,12,4755,C,2018,1,27,2018-01-27,2018-01-27,1,home,interest rate: 3.85%; monthly payment: 609
5909,A00007136,61320,60,1022,C,2018,1,3,2018-01-03,2018-01-03,1,home,interest rate: 3.56%; Monthly payment: $821
5782,A00000873,63576,12,5298,C,2018,1,4,2018-01-04,2018-01-04,1,debt_consolidation,Interest rate:3.68%; Monthly payment:$893
5287,A00004337,64224,24,2676,C,2018,1,26,2018-01-26,2018-01-26,64,home,interest rate: 3.46%; Monthly payment: $604
5930,A00002143,66696,24,2779,C,2018,1,12,2018-01-12,2018-01-12,1,home,interest rate: 3.39%; monthly payment: $704
5260,A00007565,123300,36,3425,C,2018,1,19,2018-01-19,2018-01-19,64,home,interest rate:3.67%; monthly payment:$274
5245,A00001888,125472,24,5228,C,2018,1,17,2018-01-17,2018-01-17,64,home,Interest rate: 3.3%; monthly payment: $835
7067,A00005593,136368,24,5682,C,2018,1,11,2018-01-11,2018-01-11,1,home,interest rate:3.18%; monthly payment:$531
5320,A00009730,143676,36,3991,C,2018,1,11,2018-01-11,2018-01-11,64,home,interest rate:3.8%; Monthly payment:$821
6486,A00009731,152160,60,2536,C,2018,1,15,2018-01-15,2018-01-15,1,home,Interest rate: 3.95%; monthly payment: $996
6552,A00006930,170448,48,3551,C,2018,1,8,2018-01-08,2018-01-08,1,home,interest rate:3.62%; Monthly payment:580
5360,A00004618,176328,36,4898,C,2018,1,25,2018-01-25,2018-01-25,59,home,interest rate:3.85%; Monthly payment:412
7037,A00006434,218064,48,4543,C,2018,1,3,2018-01-03,2018-01-03,1,home,Interest rate:3.37%; Monthly payment:$986
7147,A00002994,267600,48,5575,C,2018,1,2,2018-01-02,2018-01-02,1,home,Interest rate: 3.14%; monthly payment: 667
6237,A00009828,407952,48,8499,D,2018,1,6,2018-01-06,2018-01-06,1,home,interest rate:3.28%; monthly payment:$633
5569,A00007454,504000,60,8400,C,2018,1,20,2018-01-20,2018-01-20,18,home,interest rate:3.98%; Monthly payment:851
6791,A00003906,566640,60,9444,C,2018,1,23,2018-01-23,2018-01-23,1,home,interest rate:3.04%; monthly payment:161
